ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"25024639";"Almond, s.r.o.";20080101;"12";13106;4140;-13804;26910;24428;;32680;32680;814;-1104;154;-1745;
"28647602";"Alpex Obaly, s.r.o.";20130101;"12";29533;16971;3722;25811;14358;2543;61932;61928;414;2620;283;2325;
"28647602";"Alpex Obaly, s.r.o.";20120101;"12";17116;11139;1397;15694;10314;1275;40498;40451;77;1963;44;1137;
"28647602";"Alpex Obaly, s.r.o.";20110211;"11";684;-1;260;424;394;;3937;3873;;47;;50;
"29123755";"AltareX, s.r.o.";20130101;"12";619;73;-689;1225;69;;877;877;93;-810;;-849;
"29123755";"AltareX, s.r.o.";20120208;"11";853;3;66;787;787;;18;;;-35;;-39;
"25838113";"Alumont plast, s.r.o.";20120101;"12";30152;11369;2;29978;26978;1875;39382;39382;505;-2893;395;-3345;
"25838113";"Alumont plast, s.r.o.";20110101;"12";29548;10838;1544;27833;21833;4180;59414;59347;540;-1591;315;-2013;
"25838113";"Alumont plast, s.r.o.";20100101;"12";28614;12223;3557;25036;19036;6461;73302;73773;566;-1047;250;-1393;
"25838113";"Alumont plast, s.r.o.";20090101;"12";22299;8098;4951;17279;14000;6445;100736;;692;343;269;15;
"25838113";"Alumont plast, s.r.o.";20080101;"12";21047;6979;4936;16111;11299;108;98269;;567;-3272;232;-3543;
"25382314";"Alwin Start, s.r.o.";20130101;"12";19489;11010;5066;14423;8639;252;19737;;814;479;174;115;
"25382314";"Alwin Start, s.r.o.";20120101;"12";20796;10944;5132;15664;9748;411;34860;;837;910;323;255;
"25382314";"Alwin Start, s.r.o.";20110101;"12";19703;7678;4877;14826;7837;654;16764;;490;544;265;66;
"25382314";"Alwin Start, s.r.o.";20100101;"12";14299;5670;4830;9469;4379;380;16722;16722;411;518;286;97;
"25382314";"Alwin Start, s.r.o.";20090101;"12";13717;5665;4749;8968;3556;438;13506;13506;;612;312;71;
"25382314";"Alwin Start, s.r.o.";20080101;"12";17380;9980;5265;12115;6912;246;22251;22251;493;2435;289;1974;
"25265717";"Amcor Flexibles Nov˝ Bydûov, s.r.o.";20120701;"12";771189;165046;464184;307005;175248;;674997;661955;34277;21063;3582;12039;
"25265717";"Amcor Flexibles Nov˝ Bydûov, s.r.o.";20110701;"12";774862;139596;452145;322717;268039;3668;616720;620148;41429;20299;9158;11473;
"25265717";"Amcor Flexibles Nov˝ Bydûov, s.r.o.";20100701;"12";858222;198661;440672;417550;403679;2540;511133;485067;34886;-17070;11571;-32886;
