"year";"ICO";"AKTIVACELK";"ebit";"ebitda";"financial.expanses";"sales"
2009;27790827;295;6.88391959698227;6.88391959698227;4.48391959698227;1296
2009;63323044;17698;1008;2055;96;28711
2009;27315835;286713;10434.8;39775.8;9350;482609
2009;25935429;328264;14199.8;50864.8;9343;363538
2009;60930250;17735;645.8;997.8;153;38664
2009;41539770;1461;90;90;66;5642
2009;25524194;30753;2850.8;3473.8;290;50413
2009;49433741;60122;765.6;2289.6;56;158265
2009;837091;4889;-1568.39094986426;-1568.39094986426;292.609050135744;4633
2009;28266960;5611;1893.93293689436;2284.93293689436;301.132936894363;63085
2009;25314017;17989;1361.4;2441.4;355;22597
2009;26008203;4599;124;1093;129;7375
2009;64610225;66061;16095.9786056982;21503.9786056982;901.578605698177;125957
2009;535630;13564;344.8;467.8;304;23261
2009;27514234;881;178.8;178.8;38;2527
2009;25040723;35364;-5840;-4994;506;61410
2009;25191551;118875;-3341;5953;3089;344438
2009;27530302;9329;-2157;-1546;39;26415
2009;25997572;103020;9321.4;10050.4;739;239324
2009;25206958;30135;6259.58210349349;8580.58210349349;417.182103493489;78161
2009;46885811;31205;1876.2;3116.2;221;37164
2009;27968251;2491;301.2;315.2;14;9084
2009;48171514;489087;-10087;16200;22127;526860
2009;27962067;10523;-836;-294;337;221
2009;47718129;49782;16607.0061942176;18023.0061942176;535.806194217614;187572
2009;28023978;931;-185.254022599143;-174.254022599143;48.7459774008567;3707
2009;25347942;243727;8312.2;15995.2;5029;294065
2009;25048171;103749;20048.2;22325.2;2005;43882
2009;27549381;1504;78.467650118528;105.467650118528;59.267650118528;1813
2009;26345269;3392;171.8;1300.8;3;19
2009;25230425;1004805;61670.6;196547.6;37081;2244724
2009;26044595;148786;15628.4;22883.4;298;224237
2009;25837061;13999;756;2135;184;50735
2009;45192448;26232;-4489;-3634;78;29699
2009;27257045;334349;53857.2;76521.2;4286;473723
2009;27507823;6493;355;552;67;16987
2009;28762;93000;-4801.93921106042;748.06078893958;687.06078893958;134616
2009;26693755;3933;-569.618861670276;-534.618861670276;157.381138329724;8102
2009;25264508;107590;2212.2;5362.2;1437;27258
2009;48397571;102707;-2543;-974;73;80089
2009;28043227;269;-125.499417883622;-101.499417883622;9.50058211637827;46
2009;28047494;218;11.3775809741379;11.3775809741379;0.177580974137912;1576
2009;48268445;35553;5789.8;6348.8;57;57705
2009;25566741;37619;1686;3130;646;34062
2009;28410;59202;-7630.50338826726;-5072.50338826726;173.49661173274;51716
2009;61974170;12594;261.8;731.8;29;14676
2009;25979621;1231;66;175;34;2865
2009;25265717;510396;14384.8;26853.8;3320;282525
2009;28219937;261676;3601.4;16279.4;1979;460676
2009;25245945;66850;5699.4;6900.4;189;89603
2009;13642693;17021;-1028;-867;68;15534
2009;112402;116791;-3685;6349;1636;40122
2009;48528048;15056;574.4;1378.4;196;12
